"","state","County"
"311","KS",20035
"312","KS",20037
"313","KS",20039
"314","KS",20041
"315","KS",20043
"316","KS",20045
"317","KS",20047
"318","KS",20049
"319","KS",20051
"320","KS",20053
"321","KS",20055
"322","KS",20057
"323","KS",20059
"324","KS",20061
"325","KS",20063
"326","KS",20065
"327","KS",20067
"328","KS",20069
"329","KS",20071
"330","KS",20073
"331","KS",20075
"332","KS",20077
"333","KS",20079
"334","KS",20081
"335","KS",20083
"336","KS",20085
"337","KS",20087
"338","KS",20089
"339","KS",20091
"340","KS",20093
"341","KS",20095
"342","KS",20097
"343","KS",20099
"344","KS",20101
"345","KS",20103
"346","KS",20105
"347","KS",20107
"348","KS",20109
"349","KS",20111
"350","KS",20113
"351","KS",20115
"352","KS",20117
"353","KS",20119
"354","KS",20121
"355","KS",20123
"356","KS",20125
"357","KS",20127
"358","KS",20129
"359","KS",20131
"360","KS",20133
"361","KS",20135
"362","KS",20137
"363","KS",20139
"364","KS",20141
"365","KS",20143
"366","KS",20145
"367","KS",20147
"368","KS",20149
"369","KS",20151
"370","KS",20153
"371","KS",20155
"372","KS",20157
"373","KS",20159
"374","KS",20161
"375","KS",20163
"376","KS",20165
"377","KS",20167
"378","KS",20169
"379","KS",20171
"380","KS",20173
"381","KS",20175
"382","KS",20177
"383","KS",20179
"384","KS",20181
"385","KS",20183
"386","KS",20185
"387","KS",20187
"388","KS",20189
"389","KS",20191
"390","KS",20193
"391","KS",20195
"392","KS",20197
"393","KS",20199
"394","KS",20201
"395","KS",20203
"396","KS",20205
"397","KS",20207
"398","KS",20209
"399","MN",27001
"400","MN",27003
"401","MN",27005
"402","MN",27007
"403","MN",27009
"404","MN",27011
"405","MN",27013
"406","MN",27015
"407","MN",27017
"408","MN",27019
"409","MN",27021
"410","MN",27023
"411","MN",27025
"412","MN",27027
"413","MN",27029
"414","MN",27031
"415","MN",27033
"416","MN",27035
"417","MN",27037
"418","MN",27039
"419","MN",27041
"420","MN",27043
"421","MN",27045
"422","MN",27047
"423","MN",27049
"424","MN",27051
"425","MN",27053
"426","MN",27055
"427","MN",27057
"428","MN",27059
"429","MN",27061
"430","MN",27063
"431","MN",27065
"432","MN",27067
"433","MN",27069
"434","MN",27071
"435","MN",27073
"436","MN",27075
"437","MN",27077
"438","MN",27079
"439","MN",27081
"440","MN",27083
"441","MN",27085
"442","MN",27087
"443","MN",27089
"444","MN",27091
"445","MN",27093
"446","MN",27095
"447","MN",27097
"448","MN",27099
"449","MN",27101
"450","MN",27103
"451","MN",27105
"452","MN",27107
"453","MN",27109
"454","MN",27111
"455","MN",27113
"456","MN",27115
"457","MN",27117
"458","MN",27119
"459","MN",27121
"460","MN",27123
"461","MN",27125
"462","MN",27127
"463","MN",27129
"464","MN",27131
"465","MN",27133
"466","MN",27135
"467","MN",27137
"468","MN",27139
"469","MN",27141
"470","MN",27143
"471","MN",27145
"472","MN",27147
"473","MN",27149
"474","MN",27151
"475","MN",27153
"476","MN",27155
"477","MN",27157
"478","MN",27159
"479","MN",27161
"480","MN",27163
"481","MN",27165
"482","MN",27167
"483","MN",27169
"484","MN",27171
"485","MN",27173
"486","MO",29001
"487","MO",29003
"488","MO",29005
"489","MO",29007
"490","MO",29009
"491","MO",29011
"492","MO",29013
"493","MO",29015
"494","MO",29017
"495","MO",29019
"496","MO",29021
"497","MO",29023
"498","MO",29025
"499","MO",29027
"500","MO",29029
"501","MO",29031
"502","MO",29033
"503","MO",29035
"504","MO",29037
"505","MO",29039
"506","MO",29041
"507","MO",29043
"508","MO",29045
"509","MO",29047
"510","MO",29049
"511","MO",29051
"512","MO",29053
"513","MO",29055
"514","MO",29057
"515","MO",29059
"516","MO",29061
"517","MO",29063
"518","MO",29065
"519","MO",29067
"520","MO",29069
"521","MO",29071
"522","MO",29073
"523","MO",29075
"524","MO",29077
"525","MO",29079
"526","MO",29081
"527","MO",29083
"528","MO",29085
"529","MO",29087
"530","MO",29089
"531","MO",29091
"532","MO",29093
"533","MO",29095
"534","MO",29097
"535","MO",29099
"536","MO",29101
"537","MO",29103
"538","MO",29105
"539","MO",29107
"540","MO",29109
"541","MO",29111
"542","MO",29113
"543","MO",29115
"544","MO",29117
"545","MO",29119
"546","MO",29121
"547","MO",29123
"548","MO",29125
"549","MO",29127
"550","MO",29129
"551","MO",29131
"552","MO",29133
"553","MO",29135
"554","MO",29137
"555","MO",29139
"556","MO",29141
"557","MO",29143
"558","MO",29145
"559","MO",29147
"560","MO",29149
"561","MO",29151
"562","MO",29153
"563","MO",29155
"564","MO",29157
"565","MO",29159
"566","MO",29161
"567","MO",29163
"568","MO",29165
"569","MO",29167
"570","MO",29169
"571","MO",29171
"572","MO",29173
"573","MO",29175
"574","MO",29177
"575","MO",29179
"576","MO",29181
"577","MO",29183
"578","MO",29185
"579","MO",29186
"580","MO",29187
"581","MO",29189
"582","MO",29195
"583","MO",29197
"584","MO",29199
"585","MO",29201
"586","MO",29203
"587","MO",29205
"588","MO",29207
"589","MO",29209
"590","MO",29211
"591","MO",29213
"592","MO",29215
"593","MO",29217
"594","MO",29219
"595","MO",29221
"596","MO",29223
"597","MO",29225
"598","MO",29227
"599","MO",29229
"600","MO",29510
"601","NE",31001
"602","NE",31003
"603","NE",31005
"604","NE",31007
"605","NE",31009
"606","NE",31011
"607","NE",31013
"608","NE",31015
"609","NE",31017
"610","NE",31019
"611","NE",31021
"612","NE",31023
"613","NE",31025
"614","NE",31027
"615","NE",31029
"616","NE",31031
"617","NE",31033
"618","NE",31035
"619","NE",31037
"620","NE",31039
"621","NE",31041
"622","NE",31043
"623","NE",31045
"624","NE",31047
"625","NE",31049
"626","NE",31051
"627","NE",31053
"628","NE",31055
"629","NE",31057
"630","NE",31059
"631","NE",31061
"632","NE",31063
"633","NE",31065
"634","NE",31067
"635","NE",31069
"636","NE",31071
"637","NE",31073
"638","NE",31075
"639","NE",31077
"640","NE",31079
"641","NE",31081
"642","NE",31083
"643","NE",31085
"644","NE",31087
"645","NE",31089
"646","NE",31091
"647","NE",31093
"648","NE",31095
"649","NE",31097
"650","NE",31099
"651","NE",31101
"652","NE",31103
"653","NE",31105
"654","NE",31107
"655","NE",31109
"656","NE",31111
"657","NE",31113
"658","NE",31115
"659","NE",31117
"660","NE",31119
"661","NE",31121
"662","NE",31123
"663","NE",31125
"664","NE",31127
"665","NE",31129
"666","NE",31131
"667","NE",31133
"668","NE",31135
"669","NE",31137
"670","NE",31139
"671","NE",31141
"672","NE",31143
"673","NE",31145
"674","NE",31147
"675","NE",31149
"676","NE",31151
"677","NE",31153
"678","NE",31155
"679","NE",31157
"680","NE",31159
"681","NE",31161
"682","NE",31163
"683","NE",31165
"684","NE",31167
"685","NE",31169
"686","NE",31171
"687","NE",31173
"688","NE",31175
"689","NE",31177
"690","NE",31179
"691","NE",31181
"692","NE",31183
"693","NE",31185
"694","OH",39001
"695","OH",39003
"696","OH",39005
"697","OH",39007
"698","OH",39009
"699","OH",39011
"700","OH",39013
"701","OH",39015
"702","OH",39017
"703","OH",39019
"704","OH",39021
"705","OH",39023
"706","OH",39025
"707","OH",39027
"708","OH",39029
"709","OH",39031
"710","OH",39033
"711","OH",39035
"712","OH",39037
"713","OH",39039
"714","OH",39041
"715","OH",39043
"716","OH",39045
"717","OH",39047
"718","OH",39049
"719","OH",39051
"720","OH",39053
"721","OH",39055
"722","OH",39057
"723","OH",39059
"724","OH",39061
"725","OH",39063
"726","OH",39065
"727","OH",39067
"728","OH",39069
"729","OH",39071
"730","OH",39073
"731","OH",39075
"732","OH",39077
"733","OH",39079
"734","OH",39081
"735","OH",39083
